HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.Q0,Input.passage_id,Input.relevance_score,Input.passage,Input.labels,Input.query,Answer.taskAnswers,Approve,Reject,text_spans
334ZEL5JYAUENQNYEAQYB85GXI5SOB,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,5,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,3U088ZLJVP8PEAAIMW3Q7G89YEH0WT,worker_168,Submitted,Wed Jan 18 00:22:18 PST 2023,Wed Jan 18 00:23:18 PST 2023,Sat Jan 21 00:23:18 PST 2023,,,,60,100% (1/1),0% (0/0),0% (0/0),132_1-1,0,MARCO_16_3117875026-1,3,"2021 United Nations Climate Change Conference - Wikipedia 2021 United Nations Climate Change Conference From Wikipedia, the free encyclopedia (Redirected from COP26) Jump to navigation Jump to search 2021 United Nations Climate Change Conference  Date 1 – 12 November 2021 Venue SEC Centre Location Glasgow, Scotland, UK Organized by United Kingdom and Italy Participants UNFCCC member countries President Alok Sharma Previous event Madrid 2019 Website www .ukcop26 .org  The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference.  It is scheduled to be held in the city of Glasgow from 1 to 12 November 2021 under the presidency of the United Kingdom.  The conference is set to incorporate the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC), the 16th meeting of the parties to the Kyoto Protocol ( CMP16 ), and the third meeting of the parties to the Paris Agreement ( CMA3 ).  This conference is the first time that Parties are expected to commit to enhanced ambition since COP21.  Parties are required to carry out every five years, as outlined in the Paris Agreement, a process colloquially known as the 'ratchet mechanism'.  The venue for the conference is the SEC Centre in Glasgow.",,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":598,""label"":""relevant-text-span"",""startOffset"":471}]}}]",x,,"[' The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference. ']"
334ZEL5JYAUENQNYEAQYB85GXI5SOB,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,8,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,3F1567XTN1K2Q729AJND82RGDIS9QA,worker_118,Submitted,Wed Jan 18 03:26:11 PST 2023,Wed Jan 18 03:28:42 PST 2023,Sat Jan 21 03:28:42 PST 2023,,,,151,0% (0/5),0% (0/5),0% (0/5),132_1-1,0,MARCO_16_3117875026-1,3,"2021 United Nations Climate Change Conference - Wikipedia 2021 United Nations Climate Change Conference From Wikipedia, the free encyclopedia (Redirected from COP26) Jump to navigation Jump to search 2021 United Nations Climate Change Conference  Date 1 – 12 November 2021 Venue SEC Centre Location Glasgow, Scotland, UK Organized by United Kingdom and Italy Participants UNFCCC member countries President Alok Sharma Previous event Madrid 2019 Website www .ukcop26 .org  The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference.  It is scheduled to be held in the city of Glasgow from 1 to 12 November 2021 under the presidency of the United Kingdom.  The conference is set to incorporate the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC), the 16th meeting of the parties to the Kyoto Protocol ( CMP16 ), and the third meeting of the parties to the Paris Agreement ( CMA3 ).  This conference is the first time that Parties are expected to commit to enhanced ambition since COP21.  Parties are required to carry out every five years, as outlined in the Paris Agreement, a process colloquially known as the 'ratchet mechanism'.  The venue for the conference is the SEC Centre in Glasgow.",,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":596,""label"":""relevant-text-span"",""startOffset"":472}]}}]",x,,"['The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference']"
334ZEL5JYAUENQNYEAQYB85GXI5SOB,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,5,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,3KJYX6QCMEQJ1RBZIU803J4RQEJVJJ,worker_37,Submitted,Wed Jan 18 00:20:56 PST 2023,Wed Jan 18 00:21:33 PST 2023,Sat Jan 21 00:21:33 PST 2023,,,,37,100% (5/5),0% (0/0),0% (0/0),132_1-1,0,MARCO_16_3117875026-1,3,"2021 United Nations Climate Change Conference - Wikipedia 2021 United Nations Climate Change Conference From Wikipedia, the free encyclopedia (Redirected from COP26) Jump to navigation Jump to search 2021 United Nations Climate Change Conference  Date 1 – 12 November 2021 Venue SEC Centre Location Glasgow, Scotland, UK Organized by United Kingdom and Italy Participants UNFCCC member countries President Alok Sharma Previous event Madrid 2019 Website www .ukcop26 .org  The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference.  It is scheduled to be held in the city of Glasgow from 1 to 12 November 2021 under the presidency of the United Kingdom.  The conference is set to incorporate the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC), the 16th meeting of the parties to the Kyoto Protocol ( CMP16 ), and the third meeting of the parties to the Paris Agreement ( CMA3 ).  This conference is the first time that Parties are expected to commit to enhanced ambition since COP21.  Parties are required to carry out every five years, as outlined in the Paris Agreement, a process colloquially known as the 'ratchet mechanism'.  The venue for the conference is the SEC Centre in Glasgow.",,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":1103,""label"":""relevant-text-span"",""startOffset"":1000}]}}]",x,,['This conference is the first time that Parties are expected to commit to enhanced ambition since COP21.']
334ZEL5JYAUENQNYEAQYB85GXI5SOB,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,9,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,3SPJ033426I05L64N5VKAI8L80PYJ9,worker_305,Submitted,Wed Jan 18 12:12:20 PST 2023,Wed Jan 18 12:14:08 PST 2023,Sat Jan 21 12:14:08 PST 2023,,,,108,100% (18/18),100% (4/4),100% (4/4),132_1-1,0,MARCO_16_3117875026-1,3,"2021 United Nations Climate Change Conference - Wikipedia 2021 United Nations Climate Change Conference From Wikipedia, the free encyclopedia (Redirected from COP26) Jump to navigation Jump to search 2021 United Nations Climate Change Conference  Date 1 – 12 November 2021 Venue SEC Centre Location Glasgow, Scotland, UK Organized by United Kingdom and Italy Participants UNFCCC member countries President Alok Sharma Previous event Madrid 2019 Website www .ukcop26 .org  The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference.  It is scheduled to be held in the city of Glasgow from 1 to 12 November 2021 under the presidency of the United Kingdom.  The conference is set to incorporate the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC), the 16th meeting of the parties to the Kyoto Protocol ( CMP16 ), and the third meeting of the parties to the Paris Agreement ( CMA3 ).  This conference is the first time that Parties are expected to commit to enhanced ambition since COP21.  Parties are required to carry out every five years, as outlined in the Paris Agreement, a process colloquially known as the 'ratchet mechanism'.  The venue for the conference is the SEC Centre in Glasgow.",,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":521,""label"":""relevant-text-span"",""startOffset"":481}]}}]",x,,['United Nations Climate Change Conference']
3EFNPKWBNW3P0SA0MANMDZ1M70X30D,3R4WH3MP1O7G4Y9OAJTAPNGPZRU1PM,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Thu Jan 19 05:24:24 PST 2023,1,BatchId:4991150;OriginalHitTemplateId:928390909;,10800,259200,Sun Jan 22 05:24:24 PST 2023,,,35H6S234SFFQF2HDSKWYQH5NSXC65N,worker_79,Submitted,Thu Jan 19 10:30:09 PST 2023,Thu Jan 19 10:34:07 PST 2023,Sun Jan 22 10:34:07 PST 2023,,,,238,100% (2/2),0% (0/0),0% (0/0),132_1-1,0,MARCO_16_3117875026-1,3,"2021 United Nations Climate Change Conference - Wikipedia 2021 United Nations Climate Change Conference From Wikipedia, the free encyclopedia (Redirected from COP26) Jump to navigation Jump to search 2021 United Nations Climate Change Conference  Date 1 – 12 November 2021 Venue SEC Centre Location Glasgow, Scotland, UK Organized by United Kingdom and Italy Participants UNFCCC member countries President Alok Sharma Previous event Madrid 2019 Website www .ukcop26 .org  The 2021 United Nations Climate Change Conference, also known as COP26, is the 26th United Nations Climate Change conference.  It is scheduled to be held in the city of Glasgow from 1 to 12 November 2021 under the presidency of the United Kingdom.  The conference is set to incorporate the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC), the 16th meeting of the parties to the Kyoto Protocol ( CMP16 ), and the third meeting of the parties to the Paris Agreement ( CMA3 ).  This conference is the first time that Parties are expected to commit to enhanced ambition since COP21.  Parties are required to carry out every five years, as outlined in the Paris Agreement, a process colloquially known as the 'ratchet mechanism'.  The venue for the conference is the SEC Centre in Glasgow.",,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":997,""label"":""relevant-text-span"",""startOffset"":743}]}}]",x,,"['to incorporate the 26th Conference of the Parties to the United Nations Framework Convention on Climate Change (UNFCCC), the 16th meeting of the parties to the Kyoto Protocol ( CMP16 ), and the third meeting of the parties to the Paris Agreement ( CMA3 )']"
3OKP4QVBQ6CMVHK69RRZLZ28KQ7GAG,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,5,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,39U1BHVTDQ6T3L5LAEGYMUZHXWI3T0,worker_432,Submitted,Wed Jan 18 00:18:30 PST 2023,Wed Jan 18 00:21:11 PST 2023,Sat Jan 21 00:21:11 PST 2023,,,,161,0% (0/0),0% (0/0),0% (0/0),132_1-1,0,MARCO_30_1605964568-1,2,"HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.",0.0,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":203,""label"":""relevant-text-span"",""startOffset"":0},{""endOffset"":1191,""label"":""relevant-text-span"",""startOffset"":936}]}}]",x,,"['HOME - UN Climate Change Conference (COP26) at the SEC  Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow', 'May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.']"
3OKP4QVBQ6CMVHK69RRZLZ28KQ7GAG,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,8,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,3H7Z272LXCMCRX23Z3BED6S18GMLPR,worker_428,Submitted,Wed Jan 18 03:22:49 PST 2023,Wed Jan 18 03:25:35 PST 2023,Sat Jan 21 03:25:35 PST 2023,,,,166,0% (0/0),0% (0/0),0% (0/0),132_1-1,0,MARCO_30_1605964568-1,2,"HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.",0.0,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":386,""label"":""relevant-text-span"",""startOffset"":230}]}}]",x,,['The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change']
3OKP4QVBQ6CMVHK69RRZLZ28KQ7GAG,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,8,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,3MTMREQS40XLFN80EY0JWMKM71QWAF,worker_238,Submitted,Wed Jan 18 03:25:32 PST 2023,Wed Jan 18 03:26:28 PST 2023,Sat Jan 21 03:26:28 PST 2023,,,,56,0% (0/0),0% (0/0),0% (0/0),132_1-1,0,MARCO_30_1605964568-1,2,"HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.",0.0,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":386,""label"":""relevant-text-span"",""startOffset"":230}]}}]",x,,['The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change']
3OKP4QVBQ6CMVHK69RRZLZ28KQ7GAG,3YWCO65Q5KI1XLPLED4ZBNNPZVA0Q9,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Wed Jan 18 00:17:55 PST 2023,5,BatchId:4990001;OriginalHitTemplateId:928390909;,180,259200,Sat Jan 21 00:17:55 PST 2023,,,3F6HPJW4JIFWAKDW1J74Q41OVC12WF,worker_507,Submitted,Wed Jan 18 00:22:01 PST 2023,Wed Jan 18 00:24:34 PST 2023,Sat Jan 21 00:24:34 PST 2023,,,,153,0% (0/0),0% (0/0),0% (0/0),132_1-1,0,MARCO_30_1605964568-1,2,"HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.",0.0,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":192,""label"":""relevant-text-span"",""startOffset"":115}]}}]",x,,['The UK will host the 26th UN Climate Change Conference of the Parties (COP26)']
3P7QK0GJ4X0XHVK7M4M90OZGJTG2ZT,3R4WH3MP1O7G4Y9OAJTAPNGPZRU1PM,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Thu Jan 19 05:24:24 PST 2023,2,BatchId:4991150;OriginalHitTemplateId:928390909;,10800,259200,Sun Jan 22 05:24:24 PST 2023,,,3QAPZX2QN9S32UCB8CEJJ9SKVO702V,worker_81,Submitted,Fri Jan 20 00:17:32 PST 2023,Fri Jan 20 00:21:41 PST 2023,Mon Jan 23 00:21:41 PST 2023,,,,249,0% (0/0),0% (0/0),0% (0/0),132_1-1,0,MARCO_30_1605964568-1,2,"HOME - UN Climate Change Conference (COP26) at the SEC – Glasgow 2021 Uniting the world to tackle climate change.  The UK will host the 26th UN Climate Change Conference of the Parties (COP26) in Glasgow on 1 – 12 November 2021.  The COP26 summit will bring parties together to accelerate action towards the goals of the Paris Agreement and the UN Framework Convention on Climate Change.  The UK is committed to working with all countries and joining forces with civil society, companies and people on the frontline of climate change to inspire climate action ahead of COP26.  COP26 @COP26 · May 25, 2021 1397069926800654339 We need to accelerate the #RaceToZero Join @wef, @MPPindustry, @topnigel & @gmunozabogabir for a series of events demonstrating the need for systemic change to accelerate the global transition to net zero.  Starting May 27th  Learn more #ClimateBreakthroughs | #COP26 Twitter 1397069926800654339 COP26 @COP26 · May 24, 2021 1396737733649846273 #TechForOurPlanet is a new challenge programme for #CleanTech startups to pilot and showcase their solutions at #COP26!  Innovators can apply to six challenges focusing around core climate issues and government priorities.",0.0,"I remember Glasgow hosting COP26 last year, but unfortunately I was out of the loop. What was the conference about?","[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":829,""label"":""relevant-text-span"",""startOffset"":722}]}}]",x,,['series of events demonstrating the need for systemic change to accelerate the global transition to net zero']
