HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.Q0,Input.passage_id,Input.relevance_score,Input.passage,Input.labels,Input.query,Answer.taskAnswers,Approve,Reject,text_spans
32CXT5U15KIRHBSMWYW2TNX43D38UR,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,5,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,336KAV9KYV70ZP8WGKPSB1M47JBY2J,worker_65,Submitted,Mon Jan 23 07:11:58 PST 2023,Mon Jan 23 07:15:04 PST 2023,Thu Jan 26 07:15:04 PST 2023,,,,186,100% (6/6),100% (6/6),100% (6/6),133_1-1,0,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":794,""label"":""relevant-text-span"",""startOffset"":596}]}}]",x,,"['Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars']"
32CXT5U15KIRHBSMWYW2TNX43D38UR,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,5,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,3L4D84MIL47EJQGFD5RWOIDIJYFJHN,worker_369,Submitted,Mon Jan 23 06:24:20 PST 2023,Mon Jan 23 06:25:38 PST 2023,Thu Jan 26 06:25:38 PST 2023,,,,78,100% (203/203),0% (0/0),0% (0/0),133_1-1,0,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":254,""label"":""relevant-text-span"",""startOffset"":236},{""endOffset"":283,""label"":""relevant-text-span"",""startOffset"":271},{""endOffset"":300,""label"":""relevant-text-span"",""startOffset"":288},{""endOffset"":367,""label"":""relevant-text-span"",""startOffset"":355},{""endOffset"":517,""label"":""relevant-text-span"",""startOffset"":507},{""endOffset"":528,""label"":""relevant-text-span"",""startOffset"":519},{""endOffset"":544,""label"":""relevant-text-span"",""startOffset"":533},{""endOffset"":607,""label"":""relevant-text-span"",""startOffset"":596},{""endOffset"":991,""label"":""relevant-text-span"",""startOffset"":988},{""endOffset"":999,""label"":""relevant-text-span"",""startOffset"":993},{""endOffset"":1008,""label"":""relevant-text-span"",""startOffset"":1003}]}}]",x,,"['tru mlange candle', 'pumice stone', 'wooden brush', 'oatmeal soap', 'body scrub', 'body wash', 'body lotion', 'Chocolates ', 'tea', 'coffee', 'wine ']"
32CXT5U15KIRHBSMWYW2TNX43D38UR,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,5,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,3TVRFO09GPUH064ULULV7JE4BD3LXK,worker_211,Submitted,Mon Jan 23 06:40:04 PST 2023,Mon Jan 23 06:40:56 PST 2023,Thu Jan 26 06:40:56 PST 2023,,,,52,100% (4/4),100% (4/4),100% (4/4),133_1-1,0,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":794,""label"":""relevant-text-span"",""startOffset"":546}]}}]",x,,"[' Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars']"
3QXFBUZ40OV6AQY4FW8QL0E2RWGGUF,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,7,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,3PWWM24LHXDLKJHE3GRYCOY2EA828L,worker_345,Submitted,Tue Jan 24 05:02:38 PST 2023,Tue Jan 24 05:11:58 PST 2023,Fri Jan 27 05:11:58 PST 2023,,,,560,85% (29/34),85% (29/34),85% (29/34),133_1-1,0,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":419,""label"":""relevant-text-span"",""startOffset"":51},{""endOffset"":794,""label"":""relevant-text-span"",""startOffset"":596}]}}]",x,,"['gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mlange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.', 'Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars']"
3QXFBUZ40OV6AQY4FW8QL0E2RWGGUF,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,7,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,38F5OAUN5SRLZVFDCW2ZLS89S9K7HL,worker_383,Submitted,Tue Jan 24 05:03:04 PST 2023,Tue Jan 24 05:05:12 PST 2023,Fri Jan 27 05:05:12 PST 2023,,,,128,100% (5/5),100% (5/5),100% (5/5),133_1-1,0,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":132,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience']"
3QXFBUZ40OV6AQY4FW8QL0E2RWGGUF,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,5,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,3DIP6YHAPH7DFZTUW0MZEP7RB7TE8I,worker_345,Submitted,Mon Jan 23 06:31:03 PST 2023,Mon Jan 23 06:34:27 PST 2023,Thu Jan 26 06:34:27 PST 2023,,,,204,85% (23/27),85% (23/27),85% (23/27),133_1-1,0,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",1.0,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":88,""label"":""relevant-text-span"",""startOffset"":0},{""endOffset"":331,""label"":""relevant-text-span"",""startOffset"":141},{""endOffset"":395,""label"":""relevant-text-span"",""startOffset"":344},{""endOffset"":627,""label"":""relevant-text-span"",""startOffset"":570},{""endOffset"":742,""label"":""relevant-text-span"",""startOffset"":629},{""endOffset"":811,""label"":""relevant-text-span"",""startOffset"":745},{""endOffset"":964,""label"":""relevant-text-span"",""startOffset"":903}]}}]",x,,"['Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box', 'You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts ', 'Plan a home-cooked meal, like it was catered to her', 'Gift certificates for her favorite stores or restaurants.', 'Jar of wishes, filled with $1 and $2 coins  she can use this for whatever she likes  coffee, treats, bingo, etc', 'Mom keepsakes  things like the statues or poems dedicated to moms', 'Cookbook stands, or recipe boxes for all moms secret recipes']"
3QXFBUZ40OV6AQY4FW8QL0E2RWGGUF,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,5,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,39U1BHVTDQ6T3L5LAEGYMUZHYVR3T8,worker_241,Submitted,Mon Jan 23 06:44:22 PST 2023,Mon Jan 23 06:45:22 PST 2023,Thu Jan 26 06:45:22 PST 2023,,,,60,100% (22/22),100% (14/14),100% (13/13),133_1-1,0,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",1.0,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":343,""label"":""relevant-text-span"",""startOffset"":141}]}}]",x,,"['You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc.']"
31HLTCK4CPA6N5N4KMIVHMGL53PGV4,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,5,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,3FPRZHYEP3M8GD9AF9GDNCN2VG93VQ,worker_379,Submitted,Mon Jan 23 06:45:35 PST 2023,Mon Jan 23 06:55:32 PST 2023,Thu Jan 26 06:55:32 PST 2023,,,,597,91% (10/11),91% (10/11),91% (10/11),133_1-1,0,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",1.0,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":343,""label"":""relevant-text-span"",""startOffset"":142}]}}]",x,,"['ou could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc.']"
31HLTCK4CPA6N5N4KMIVHMGL53PGV4,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,5,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,3EFVCAY5L8OLQFFMA1XQB5KJGFP8JX,worker_70,Submitted,Mon Jan 23 06:22:57 PST 2023,Mon Jan 23 06:26:29 PST 2023,Thu Jan 26 06:26:29 PST 2023,,,,212,50% (1/2),100% (1/1),100% (1/1),133_1-1,0,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",1.0,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":344,""label"":""relevant-text-span"",""startOffset"":171}]}}]",x,,"['a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. ']"
31HLTCK4CPA6N5N4KMIVHMGL53PGV4,334916ZQEOJBRMN3ZBBMMR1Y19STZ8,Identify relevant text spans in text passage,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.30,Mon Jan 23 06:22:40 PST 2023,6,BatchId:4994180;OriginalHitTemplateId:928390909;,600,259200,Thu Jan 26 06:22:40 PST 2023,,,3DY4FPOOA630ZFUCQZH95AQI10ORVT,worker_272,Submitted,Tue Jan 24 05:02:08 PST 2023,Tue Jan 24 05:02:45 PST 2023,Fri Jan 27 05:02:45 PST 2023,,,,37,50% (1/2),50% (1/2),50% (1/2),133_1-1,0,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",1.0,I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"[{""relevant-text-spans-single-passage-annotation"":{""entities"":[{""endOffset"":344,""label"":""relevant-text-span"",""startOffset"":171}]}}]",x,,"['a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. ']"
