HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.passage_id,Input.relevance_score,Input.passage,Input.query,Input.sentence,Input.sentence_id,Answer.taskAnswers,Approve,Reject,text_spans
3RHLQY6EEXJ4H8UYY0G02BDBFU9D4I,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,3NGMS9VZTQXE0S3DZPCB6Z9DB0UFF4,worker_248,Submitted,Thu Jan 26 15:20:10 PST 2023,Thu Jan 26 15:20:55 PST 2023,Sun Jan 29 15:20:55 PST 2023,,,,45,97% (134/138),97% (134/138),96% (47/49),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!",133_1-1--MARCO_20_570989692-3--5,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":10,""label"":""relevant-text-span"",""startOffset"":0},{""endOffset"":165,""label"":""relevant-text-span"",""startOffset"":126},{""endOffset"":198,""label"":""relevant-text-span"",""startOffset"":170}]}}]",x,,"['Chocolates', 'couple containers of various chocolates', 'divided them into mason jars']"
3RHLQY6EEXJ4H8UYY0G02BDBFU9D4I,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,369J354OFIPOVZ6X9GFPUEWCJGO6GO,worker_217,Submitted,Thu Jan 26 14:55:09 PST 2023,Thu Jan 26 14:59:53 PST 2023,Sun Jan 29 14:59:53 PST 2023,,,,284,97% (646/663),96% (372/389),97% (324/334),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!",133_1-1--MARCO_20_570989692-3--5,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":253,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars because I just think anything in a mason jar is cute!']"
37VHPF5VZGIVVHBMA7B2ZHBYWGT8CK,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,32UTUBMZ7LBDJ8DNU2VJ5VLEKWUVBU,worker_361,Submitted,Thu Jan 26 16:09:51 PST 2023,Thu Jan 26 16:10:44 PST 2023,Sun Jan 29 16:10:44 PST 2023,,,,53,0% (0/0),0% (0/0),0% (0/0),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!",133_1-1--MARCO_20_570989692-3--5,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":198,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars']"
37VHPF5VZGIVVHBMA7B2ZHBYWGT8CK,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,374TNBHA8GAHR8AHIVFT7JK7ODKYQ5,worker_107,Submitted,Thu Jan 26 13:59:47 PST 2023,Thu Jan 26 13:59:59 PST 2023,Sun Jan 29 13:59:59 PST 2023,,,,12,98% (54/55),98% (54/55),98% (48/49),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,Don’t forget something to drink!,133_1-1--MARCO_20_570989692-3--7,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":31,""label"":""relevant-text-span"",""startOffset"":13}]}}]",x,,['something to drink']
3VCK0Q0PP9TW4W3A4T71MDZSCMVN0U,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,38JBBYETQTPCWY6SKXWMXDRMA97E4Y,worker_217,Submitted,Thu Jan 26 15:29:23 PST 2023,Thu Jan 26 15:34:36 PST 2023,Sun Jan 29 15:34:36 PST 2023,,,,313,97% (646/663),96% (372/389),97% (324/334),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,Don’t forget something to drink!,133_1-1--MARCO_20_570989692-3--7,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":32,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,['Dont forget something to drink!']
3VCK0Q0PP9TW4W3A4T71MDZSCMVN0U,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,3QECW5O0KMGWH0SPOX4R1RX1DFXT5G,worker_257,Submitted,Thu Jan 26 17:01:22 PST 2023,Thu Jan 26 17:01:41 PST 2023,Sun Jan 29 17:01:41 PST 2023,,,,19,0% (0/0),0% (0/0),0% (0/0),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,Don’t forget something to drink!,133_1-1--MARCO_20_570989692-3--7,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":31,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,['Dont forget something to drink']
3UY4PIS8RV0WBLOS0CB10II2HE1N1X,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,3JZQSN0I3VPKESZ8A9ITOK9PCFMFGV,worker_107,Submitted,Thu Jan 26 14:05:47 PST 2023,Thu Jan 26 14:05:58 PST 2023,Sun Jan 29 14:05:58 PST 2023,,,,11,98% (54/55),98% (54/55),98% (48/49),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.",133_1-1--MARCO_20_570989692-3--0,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":132,""label"":""relevant-text-span"",""startOffset"":61}]}}]",x,,['any items that would make bath-time a pampering and relaxing experience']
3UY4PIS8RV0WBLOS0CB10II2HE1N1X,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,32Z9ZLUT1QZSK17CTIJ1WEU4JGZOHY,worker_150,Submitted,Thu Jan 26 15:33:20 PST 2023,Thu Jan 26 15:33:40 PST 2023,Sun Jan 29 15:33:40 PST 2023,,,,20,0% (0/0),0% (0/0),0% (0/0),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.",133_1-1--MARCO_20_570989692-3--0,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":133,""label"":""relevant-text-span"",""startOffset"":61}]}}]",x,,['any items that would make bath-time a pampering and relaxing experience.']
3H6W48L9G84PF7G8DFDEXXDRD6BPWU,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,3QAVNHZ3ERJ54TW1AKTHNB36BGYALM,worker_217,Submitted,Thu Jan 26 14:42:11 PST 2023,Thu Jan 26 14:46:24 PST 2023,Sun Jan 29 14:46:24 PST 2023,,,,253,97% (646/663),96% (372/389),97% (324/334),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.",133_1-1--MARCO_20_570989692-3--0,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":133,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.']"
3H6W48L9G84PF7G8DFDEXXDRD6BPWU,3S2GEPESODQHD711CKIJ0UBWFKEQU2,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 13:47:36 PST 2023,3,BatchId:4997063;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 13:47:36 PST 2023,,,36TFCYNS49PFEAL4U96XFRLXVK4HXW,worker_150,Submitted,Thu Jan 26 15:34:10 PST 2023,Thu Jan 26 15:34:43 PST 2023,Sun Jan 29 15:34:43 PST 2023,,,,33,0% (0/0),0% (0/0),0% (0/0),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.",133_1-1--MARCO_20_570989692-3--2,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":57,""label"":""relevant-text-span"",""startOffset"":39},{""endOffset"":86,""label"":""relevant-text-span"",""startOffset"":74},{""endOffset"":103,""label"":""relevant-text-span"",""startOffset"":91},{""endOffset"":170,""label"":""relevant-text-span"",""startOffset"":125}]}}]",x,,"['tru mlange candle', 'pumice stone', 'wooden brush', 'bar of exfoliating and softening oatmeal soap']"
