HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.turn_id,Input.passage_id,Input.relevance_score,Input.passage,Input.query,Input.sentence,Input.sentence_id,Answer.taskAnswers,Approve,Reject,text_spans
3MXX6RQ9FZKD65XO397V25U0TCM4PV,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3SB5N7Y3O8JTHOKI7RZ8LDML69SG0F,worker_123,Submitted,Thu Jan 26 09:00:58 PST 2023,Thu Jan 26 09:05:26 PST 2023,Sun Jan 29 09:05:26 PST 2023,,,,268,73% (8/11),73% (8/11),73% (8/11),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.",133_1-1--MARCO_20_570989692-3--0,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":133,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.']"
3MXX6RQ9FZKD65XO397V25U0TCM4PV,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3LOZAJ85YISBZKIMBO3QSNFV6X82XD,worker_199,Submitted,Thu Jan 26 09:00:50 PST 2023,Thu Jan 26 09:10:36 PST 2023,Sun Jan 29 09:10:36 PST 2023,,,,586,100% (10/10),0% (0/0),0% (0/0),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.",133_1-1--MARCO_20_570989692-3--0,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":49,""label"":""relevant-text-span"",""startOffset"":16}]}}]",x,,['Pampering Mothers Day Gift Basket']
3MXX6RQ9FZKD65XO397V25U0TCM4PV,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3R2PKQ87N1N4GTXKMKM94M6EOQPIMQ,worker_229,Submitted,Thu Jan 26 09:22:29 PST 2023,Thu Jan 26 09:27:30 PST 2023,Sun Jan 29 09:27:30 PST 2023,,,,301,92% (22/24),92% (22/24),92% (22/24),133_1-1,MARCO_20_570989692-3,4,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience. Think of how you couple recreate a spa-like ambiance at home.  In keeping with the vanilla theme, the tru mélange candle fit right it, a pumice stone and wooden brush matched as well as a bar of exfoliating and softening oatmeal soap, while being a perfect fit for a sublime bath time.  In the bath department, we also added in the before mentioned beautiful containers of body scrub, body wash and body lotion.  Next, it was time to add in a few extra treats.  Chocolates are always on my list for a pampering experience and while shopping at Sprouts for this gift basket, I picked up a couple containers of various chocolates and divided them into mason jars… because I just think anything in a mason jar is cute!  You could use pretty goodie bags or other gifting containers and add ribbon, tags, etc. Don’t forget something to drink!  Mom’s favorite tea, coffee or wine makes a great pairing for a night of pampering.  Rosé is not only a top choice, it’s also a beautiful one!  This bottle of Gérard Bertrand Coté des Roses was stunning and I knew the bottle could even be reused later on.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"For an Ultimate Pampering Mothers Day Gift Basket, gather up any items that would make bath-time a pampering and relaxing experience.",133_1-1--MARCO_20_570989692-3--0,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":49,""label"":""relevant-text-span"",""startOffset"":7},{""endOffset"":133,""label"":""relevant-text-span"",""startOffset"":86}]}}]",x,,"['Ultimate Pampering Mothers Day Gift Basket', ' bath-time a pampering and relaxing experience.']"
3URJ6VVYVT2VL5LNO9UGD5PAJ7Q4OE,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3DBQWDE4YBDYMNN5R1IFSSR9OTON5E,worker_123,Submitted,Thu Jan 26 09:00:35 PST 2023,Thu Jan 26 09:04:23 PST 2023,Sun Jan 29 09:04:23 PST 2023,,,,228,73% (8/11),73% (8/11),73% (8/11),133_1-1,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.",133_1-1--MARCO_23_1600238475-4--8,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":114,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['Jar of wishes, filled with $1 and $2 coins  she can use this for whatever she likes  coffee, treats, bingo, etc.']"
3URJ6VVYVT2VL5LNO9UGD5PAJ7Q4OE,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,5,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3EA3QWIZ4NA8TON4VHNLQ016I24ITI,worker_320,Submitted,Thu Jan 26 23:53:14 PST 2023,Thu Jan 26 23:53:59 PST 2023,Sun Jan 29 23:53:59 PST 2023,,,,45,0% (0/0),0% (0/0),0% (0/0),133_1-1,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.",133_1-1--MARCO_23_1600238475-4--8,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":114,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['Jar of wishes, filled with $1 and $2 coins  she can use this for whatever she likes  coffee, treats, bingo, etc.']"
3URJ6VVYVT2VL5LNO9UGD5PAJ7Q4OE,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,6,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3BGYGHDBB2ZAY4FPNZIX2XLZTVH22Q,worker_375,Submitted,Fri Jan 27 08:10:58 PST 2023,Fri Jan 27 08:11:55 PST 2023,Mon Jan 30 08:11:55 PST 2023,,,,57,91% (10/11),91% (10/11),88% (7/8),133_1-1,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.",133_1-1--MARCO_23_1600238475-4--8,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":114,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,"['Jar of wishes, filled with $1 and $2 coins  she can use this for whatever she likes  coffee, treats, bingo, etc.']"
3I7KR83SOESDSK6K7CYENWJHLUU9KV,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3KGTPGBS620JIGOR6JS38GGRCGW2US,worker_217,Submitted,Thu Jan 26 09:13:32 PST 2023,Thu Jan 26 09:13:42 PST 2023,Sun Jan 29 09:13:42 PST 2023,,,,10,97% (606/623),95% (332/349),97% (294/304),133_1-1,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,Make a spa in a box.,133_1-1--MARCO_23_1600238475-4--1,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":20,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,['Make a spa in a box.']
3I7KR83SOESDSK6K7CYENWJHLUU9KV,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3HHRAGRYXDKZ5VPTV6V9JXWG0ZD9O7,worker_247,Submitted,Thu Jan 26 09:11:44 PST 2023,Thu Jan 26 09:15:40 PST 2023,Sun Jan 29 09:15:40 PST 2023,,,,236,100% (1/1),100% (1/1),0% (0/0),133_1-1,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,Make a spa in a box.,133_1-1--MARCO_23_1600238475-4--1,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":20,""label"":""relevant-text-span"",""startOffset"":0}]}}]",x,,['Make a spa in a box.']
3I7KR83SOESDSK6K7CYENWJHLUU9KV,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,4,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,30IQTZXKAPL43AF8W1ZC9ZMG94B0XO,worker_357,Submitted,Fri Jan 27 00:02:43 PST 2023,Fri Jan 27 00:06:09 PST 2023,Mon Jan 30 00:06:09 PST 2023,,,,206,100% (1/1),100% (1/1),100% (1/1),133_1-1,MARCO_23_1600238475-4,3,"Get a gift certificate for a spa with luxury to spoil her ever need. Make a spa in a box.  Get everything she would need to pamper herself.  You could include things like a nice plush towel, housecoat, bubble bath, body wash, bath salts, inflatable bath pillow, candles, face mask kits, sponges or loofas, foot massager with salts for it, etc. Plan a home-cooked meal, like it was catered to her.  And make sure she doesn’t lift a finger!  (and that includes chores)  Other 50th Birthday Gifts There are also many other things you can give mom as a 50th birthday gift.  Gift certificates for her favorite stores or restaurants.  Jar of wishes, filled with $1 and $2 coins – she can use this for whatever she likes – coffee, treats, bingo, etc.  Mom keepsakes – things like the statues or poems dedicated to moms.  Hallmark and places like that sell a lot of different items that are dedicated to moms.  Cookbook stands, or recipe boxes for all mom’s secret recipes.  If you can get hold of all mom’s best recipes you can make a recipe book filled with the “Kid’s Favorites”.  See how many great 50th birthday gifts you can easily choose from?",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,Make a spa in a box.,133_1-1--MARCO_23_1600238475-4--1,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":10,""label"":""relevant-text-span"",""startOffset"":7}]}}]",x,,['spa']
3OWZNK3RZP4GVWQXGHN1JWK1HFI2UT,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,36W0OB37H1T4J5LJVRUICC183GNZHO,worker_199,Submitted,Thu Jan 26 09:00:34 PST 2023,Thu Jan 26 09:08:16 PST 2023,Sun Jan 29 09:08:16 PST 2023,,,,462,100% (10/10),0% (0/0),0% (0/0),133_1-1,MARCO_36_1287798402-9,3,"I had one of these in the past and it was so amazing to use after a long day; it really helps relax those tense muscles and tired areas. 3  . Spa Basket EVERY mom loves to be pampered, but sometimes there is not enough time to actually leave the house or it costs a ton of money.  This would be an excellent DIY Mother’s Day gift idea that would leave her feeling rejuvenated and beautiful!  Comfy robe: Nothing gives more of a spa feeling than a white robe.  If you have ever been to a fancy hotel or resort, that is what they always leave for guests.  Putting on this robe will leave mom feeling like a queen of her own palace.  Spa slippers: What would leave more of a spa feeling are slippers to match that comfy bath robe!  So, snag a pair of these to top off the ensemble.  Face care products: Facial care is becoming a hot ticket now, along with chemical peels and charcoal masks.  This one comes highly recommended from a mom blogger than I follow.  It is easy to use and fairly mess free.  The mask is meant to be used sparingly, so perfect for moms that don’t want to follow a routine.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Face care products: Facial care is becoming a hot ticket now, along with chemical peels and charcoal masks.",133_1-1--MARCO_36_1287798402-9--9,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":106,""label"":""relevant-text-span"",""startOffset"":73}]}}]",x,,['chemical peels and charcoal masks']
3OWZNK3RZP4GVWQXGHN1JWK1HFI2UT,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3IXEICO797YS04S3TGEWTXB196L6TE,worker_482,Submitted,Thu Jan 26 09:01:01 PST 2023,Thu Jan 26 09:08:09 PST 2023,Sun Jan 29 09:08:09 PST 2023,,,,428,0% (0/0),0% (0/0),0% (0/0),133_1-1,MARCO_36_1287798402-9,3,"I had one of these in the past and it was so amazing to use after a long day; it really helps relax those tense muscles and tired areas. 3  . Spa Basket EVERY mom loves to be pampered, but sometimes there is not enough time to actually leave the house or it costs a ton of money.  This would be an excellent DIY Mother’s Day gift idea that would leave her feeling rejuvenated and beautiful!  Comfy robe: Nothing gives more of a spa feeling than a white robe.  If you have ever been to a fancy hotel or resort, that is what they always leave for guests.  Putting on this robe will leave mom feeling like a queen of her own palace.  Spa slippers: What would leave more of a spa feeling are slippers to match that comfy bath robe!  So, snag a pair of these to top off the ensemble.  Face care products: Facial care is becoming a hot ticket now, along with chemical peels and charcoal masks.  This one comes highly recommended from a mom blogger than I follow.  It is easy to use and fairly mess free.  The mask is meant to be used sparingly, so perfect for moms that don’t want to follow a routine.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Face care products: Facial care is becoming a hot ticket now, along with chemical peels and charcoal masks.",133_1-1--MARCO_36_1287798402-9--9,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":32,""label"":""relevant-text-span"",""startOffset"":20}]}}]",x,,['Facial care ']
3OWZNK3RZP4GVWQXGHN1JWK1HFI2UT,33FNMBLT26BU8G2NGGXM8KMK33S40V,Identify relevant text spans in sentence,Identify all the text spans that contain key pieces of the answer to a given question,"query, passage, relevance, data collection",$0.10,Thu Jan 26 08:59:45 PST 2023,3,BatchId:4996809;OriginalHitTemplateId:928390909;,600,259200,Sun Jan 29 08:59:45 PST 2023,,,3YJ6NA41JGV6W7E3WIZ1XRF969MJPU,worker_397,Submitted,Thu Jan 26 09:02:28 PST 2023,Thu Jan 26 09:07:11 PST 2023,Sun Jan 29 09:07:11 PST 2023,,,,283,100% (1/1),100% (1/1),100% (1/1),133_1-1,MARCO_36_1287798402-9,3,"I had one of these in the past and it was so amazing to use after a long day; it really helps relax those tense muscles and tired areas. 3  . Spa Basket EVERY mom loves to be pampered, but sometimes there is not enough time to actually leave the house or it costs a ton of money.  This would be an excellent DIY Mother’s Day gift idea that would leave her feeling rejuvenated and beautiful!  Comfy robe: Nothing gives more of a spa feeling than a white robe.  If you have ever been to a fancy hotel or resort, that is what they always leave for guests.  Putting on this robe will leave mom feeling like a queen of her own palace.  Spa slippers: What would leave more of a spa feeling are slippers to match that comfy bath robe!  So, snag a pair of these to top off the ensemble.  Face care products: Facial care is becoming a hot ticket now, along with chemical peels and charcoal masks.  This one comes highly recommended from a mom blogger than I follow.  It is easy to use and fairly mess free.  The mask is meant to be used sparingly, so perfect for moms that don’t want to follow a routine.",I’d like to appreciate my mum by making her a beauty pamper pack. What do you put in one?,"Face care products: Facial care is becoming a hot ticket now, along with chemical peels and charcoal masks.",133_1-1--MARCO_36_1287798402-9--9,"[{""relevant-text-spans-sentence"":{""entities"":[{""endOffset"":107,""label"":""relevant-text-span"",""startOffset"":20}]}}]",x,,"['Facial care is becoming a hot ticket now, along with chemical peels and charcoal masks.']"
